"","Path","Completeness","Redundancy"
"1228","GCA_905205825.1.fna.gz",75.94,1.23
"1229","GCA_009786775.1.fna.gz",75.39,3.08
"1230","GCA_017552325.1.fna.gz",75.3,2.46
"1231","GCA_905207035.1.fna.gz",75.32,0
"1232","GCA_017414265.1.fna.gz",75.82,3.47
"1233","GCA_905210075.1.fna.gz",75.42,0.67
"1234","GCA_002383405.1.fna.gz",75.09,1.57
"1235","GCA_017395085.1.fna.gz",75.34,0.34
"1236","GCA_003521145.1.fna.gz",75.86,0
"1237","GCA_002385385.1.fna.gz",75.32,0.32
"1238","GCA_017522685.1.fna.gz",75.27,4.93
"1239","GCA_017379935.1.fna.gz",75.57,0
"1240","GCA_900555805.1.fna.gz",75.48,3.12
"1241","GCA_900555055.1.fna.gz",75.89,2.52
"1242","GCA_000438355.1.fna.gz",75.19,0.22
"1243","GCA_017395925.1.fna.gz",75.7,0.67
"1244","GCA_017456745.1.fna.gz",75.7,0.69
"1245","GCA_002350465.1.fna.gz",75.21,1.23
"1246","GCA_018054605.1.fna.gz",75.76,1.4
"1247","GCA_002351275.1.fna.gz",75.52,0.55
"1248","GCA_017518545.1.fna.gz",75.44,3.51
"1249","GCA_002385565.1.fna.gz",75.33,0
"1250","GCA_017397965.1.fna.gz",75.79,1.51
"1251","GCA_009771165.1.fna.gz",75.14,0
"1252","GCA_017459315.1.fna.gz",75.3,2.45
"1253","GCA_017407995.1.fna.gz",75.92,2.35
"1254","GCA_003604985.1.fna.gz",75.38,0.64
"1255","GCA_001915995.1.fna.gz",76,2.46
"1256","GCA_002313795.1.fna.gz",75.64,0.79
"1257","GCA_003446595.1.fna.gz",75.86,0.59
"1258","GCA_900758285.1.fna.gz",75.05,0.45
"1259","GCA_017939945.1.fna.gz",75.67,1.92
"1260","GCF_009893765.1.fna.gz",75.66,0.94
"1261","GCA_017828835.1.fna.gz",75.19,2.68
"1262","GCA_017445315.1.fna.gz",75.86,0
"1263","GCA_016290655.1.fna.gz",75.02,4.39
"1264","GCA_017429625.1.fna.gz",75.65,2.61
"1265","GCA_900555625.1.fna.gz",75.78,3.01
"1266","GCA_009771135.1.fna.gz",75.56,0
"1267","GCA_003524375.1.fna.gz",75.17,1.01
"1268","GCA_002307795.1.fna.gz",75.03,0.75
"1269","GCA_900771185.1.fna.gz",75.16,1.91
"1270","GCA_900557155.1.fna.gz",75.34,4.36
"1271","GCA_017503305.1.fna.gz",75.44,4.14
"1272","GCA_007129265.1.fna.gz",75.01,1.91
"1273","GCA_900770325.1.fna.gz",75.35,2.22
"1274","GCA_017452445.1.fna.gz",75.67,1.61
"1275","GCA_003455695.1.fna.gz",75.16,0.47
"1276","GCA_003554735.1.fna.gz",75.51,0
"1277","GCA_017438085.1.fna.gz",75.87,1.95
"1278","GCA_009782665.1.fna.gz",75.21,2.68
"1279","GCA_900553545.1.fna.gz",75.75,1.14
"1280","GCA_017440065.1.fna.gz",75.86,0
"1281","GCA_002308595.1.fna.gz",75.31,2.38
"1282","GCA_009784575.1.fna.gz",75.56,0.22
"1283","GCA_017461625.1.fna.gz",75.91,0.89
"1284","GCA_905216015.1.fna.gz",75.52,0.84
"1285","GCA_900552765.1.fna.gz",75.42,0.67
"1286","GCA_017508435.1.fna.gz",75.64,2.23
"1287","GCA_017536165.1.fna.gz",75.78,4.05
"1288","GCA_001723995.1.fna.gz",75.36,1.96
"1289","GCA_003552925.1.fna.gz",75.88,0
"1290","GCA_001638255.1.fna.gz",75.63,2.01
"1291","GCA_900552925.1.fna.gz",75.11,0.67
"1292","GCA_905187655.1.fna.gz",75.44,0
"1293","GCA_003542935.1.fna.gz",75.3,3.06
"1294","GCA_900762615.1.fna.gz",75.89,2.68
"1295","GCA_017544605.1.fna.gz",75.34,3.24
"1296","GCA_017419985.1.fna.gz",75.41,2.35
"1297","GCF_003052295.1.fna.gz",75.41,2.37
"1298","GCA_017475745.1.fna.gz",75.9,2.69
"1299","GCA_017631725.1.fna.gz",75.98,0.13
"1300","GCA_002410295.1.fna.gz",75.86,0
"1301","GCA_017543065.1.fna.gz",73.73,3.41
"1302","GCA_002493865.1.fna.gz",73.6,2.25
"1303","GCA_900756405.1.fna.gz",73.63,2.22
"1304","GCA_002329405.1.fna.gz",73.89,0.67
"1305","GCF_001375515.1.fna.gz",73.86,2.25
"1306","GCA_002407645.1.fna.gz",73.7,0
"1307","GCA_900555125.1.fna.gz",73.56,2.13
"1308","GCA_003518665.1.fna.gz",73.75,4.08
"1309","GCA_003513725.1.fna.gz",73.05,0.94
"1310","GCA_017541355.1.fna.gz",73.05,2.25
"1311","GCA_017502005.1.fna.gz",73.54,0
"1312","GCA_017419085.1.fna.gz",73.71,2.77
"1313","GCA_900555195.1.fna.gz",73.35,2.14
"1314","GCA_017468345.1.fna.gz",73.96,0.32
"1315","GCA_003488415.1.fna.gz",73.84,0
"1316","GCA_002391505.1.fna.gz",73.08,0.96
"1317","GCA_905203245.1.fna.gz",73.14,1.46
"1318","GCA_900768005.1.fna.gz",73.19,0.34
"1319","GCA_017441595.1.fna.gz",73.1,0.71
"1320","GCA_017504995.1.fna.gz",73.78,3.29
"1321","GCA_017851015.1.fna.gz",73.91,0.11
"1322","GCA_002339745.1.fna.gz",73.15,0.51
"1323","GCA_017624115.1.fna.gz",73.97,0
"1324","GCA_003538965.1.fna.gz",73.28,0
"1325","GCA_900556645.1.fna.gz",73.04,3.32
"1326","GCA_017937315.1.fna.gz",73.75,1.34
"1327","GCA_003519645.1.fna.gz",73.6,4.03
"1328","GCA_018399615.1.fna.gz",73.11,0.89
"1329","GCA_014804265.1.fna.gz",73.79,2.11
"1330","GCA_905211225.1.fna.gz",73.88,0.96
"1331","GCA_002332515.1.fna.gz",73.56,0
"1332","GCF_001278945.1.fna.gz",73.68,0
"1333","GCA_017468665.1.fna.gz",73.49,1.34
"1334","GCA_017469225.1.fna.gz",73.6,2.96
"1335","GCA_000437215.1.fna.gz",73.87,2.46
"1336","GCA_017940055.1.fna.gz",73.38,2.09
"1337","GCA_004551705.1.fna.gz",73.97,0.67
"1338","GCA_900554115.1.fna.gz",73.84,1.17
"1339","GCA_900758165.1.fna.gz",73.54,4.47
"1340","GCA_018053905.1.fna.gz",73.89,0.37
"1341","GCA_007131175.1.fna.gz",73.28,2.27
"1342","GCA_017550765.1.fna.gz",73.59,3.02
"1343","GCA_003486265.1.fna.gz",73.77,1.28
"1344","GCA_900552335.1.fna.gz",73.6,0
"1345","GCA_017440195.1.fna.gz",73.27,3.51
"1346","GCA_900766575.1.fna.gz",73.44,3.85
"1347","GCA_007122415.1.fna.gz",73.78,0.58
"1348","GCA_003539685.1.fna.gz",73.05,1.14
"1349","GCA_012512595.1.fna.gz",73.41,0.31
"1350","GCA_007133975.1.fna.gz",73.73,1.27
"1351","GCA_017619455.1.fna.gz",73.56,3.18
"1352","GCA_002423945.1.fna.gz",73.17,0
"1353","GCA_003501425.1.fna.gz",73.84,2.85
"1354","GCA_001658835.1.fna.gz",73.41,0
"1355","GCA_002455575.1.fna.gz",73.99,3.5
"1356","GCA_017628755.1.fna.gz",73.88,2.91
"1357","GCA_900766335.1.fna.gz",73.78,0
"1358","GCA_017445225.1.fna.gz",73.66,0
"1359","GCA_002492335.1.fna.gz",73.8,1.42
"1360","GCA_017410185.1.fna.gz",73.43,3.33
"1361","GCA_004554005.1.fna.gz",73.34,2.01
"1362","GCA_012515785.1.fna.gz",73.21,1.33
"1363","GCA_004554485.1.fna.gz",73.94,0.34
"1364","GCA_017828885.1.fna.gz",73.45,0.34
"1365","GCA_017620345.1.fna.gz",73.22,3.85
"1366","GCA_002368715.1.fna.gz",73.48,2.63
"1367","GCA_003520845.1.fna.gz",73.31,1.9
"1368","GCA_004555605.1.fna.gz",73.64,2.24
"1369","GCA_003343635.1.fna.gz",73.71,0.06
"1370","GCA_017410505.1.fna.gz",73.11,2.45
"1371","GCA_900553865.1.fna.gz",73.36,0.96
"1372","GCA_017514685.1.fna.gz",73.79,1.61
"1373","GCA_900752095.1.fna.gz",73.51,3.87
"1374","GCA_002320035.1.fna.gz",73.15,0.34
"1375","GCA_900770385.1.fna.gz",73.2,1.59
"1376","GCA_905210575.1.fna.gz",73.03,0.73
"1377","GCA_003563895.1.fna.gz",73.94,1.06
"1378","GCA_009780185.1.fna.gz",73.17,0.67
"1379","GCA_017473795.1.fna.gz",73.48,1.12
"1380","GCA_016278415.1.fna.gz",73.75,1.83
"1381","GCA_017523185.1.fna.gz",73.46,2.4
"1382","GCA_008674115.1.fna.gz",73.27,0
"1383","GCA_002416225.1.fna.gz",73.16,1.9
"1384","GCA_002396005.1.fna.gz",73.21,0.79
"1385","GCA_017430765.1.fna.gz",73.73,0.21
"1386","GCA_003150225.1.fna.gz",73.66,1.61
"1387","GCA_017934145.1.fna.gz",73.68,4.59
"1388","GCA_017382275.1.fna.gz",73.89,4.7
"1389","GCA_003516835.1.fna.gz",73.61,0.9
"1390","GCA_009928745.1.fna.gz",73.07,3.91
"1391","GCA_002297875.1.fna.gz",73.35,1.34
"1392","GCA_000433335.1.fna.gz",73.99,0.02
"1393","GCA_002441045.1.fna.gz",73.45,3.45
"1394","GCA_018054345.1.fna.gz",73.98,1.01
"1395","GCA_003530875.1.fna.gz",73.21,2.68
"1396","GCA_017416375.1.fna.gz",73.33,3.98
"1397","GCA_009771115.1.fna.gz",73.09,0
"1398","GCA_905207645.1.fna.gz",74,0
"1399","GCA_008667625.1.fna.gz",73.91,0.46
"1400","GCA_900755425.1.fna.gz",73.93,0.02
"1401","GCA_900555605.1.fna.gz",71.51,2.21
"1402","GCA_003454625.1.fna.gz",71.05,1.75
"1403","GCA_905214475.1.fna.gz",71.81,0
"1404","GCA_002392385.1.fna.gz",71.61,1.98
"1405","GCA_017397345.1.fna.gz",71.15,3.43
"1406","GCA_900554875.1.fna.gz",71.13,1.4
"1407","GCA_900553365.1.fna.gz",71.31,0.23
"1408","GCA_017481285.1.fna.gz",71.03,1.95
"1409","GCA_003499325.1.fna.gz",71.19,1.34
"1410","GCA_017472565.1.fna.gz",71.62,2.3
"1411","GCA_017448545.1.fna.gz",71.08,0.81
"1412","GCA_003553305.1.fna.gz",71.88,2.97
"1413","GCA_017959525.1.fna.gz",71.93,1.75
"1414","GCA_018623895.1.fna.gz",71.55,4.31
"1415","GCA_900554055.1.fna.gz",71.15,0.67
"1416","GCA_900557115.1.fna.gz",71.25,3.54
"1417","GCA_017618795.1.fna.gz",71.56,1.34
"1418","GCA_017958655.1.fna.gz",71.87,1.26
"1419","GCA_017456895.1.fna.gz",71.91,1.78
"1420","GCA_900555215.1.fna.gz",72,1.95
"1421","GCA_017536445.1.fna.gz",71.54,0
"1422","GCA_001829955.1.fna.gz",71.33,1.01
"1423","GCA_017470645.1.fna.gz",71.97,2.8
"1424","GCA_900767495.1.fna.gz",71.98,0.81
"1425","GCA_018054685.1.fna.gz",71.57,2.01
"1426","GCA_003514865.1.fna.gz",71.78,1.4
"1427","GCA_002493105.1.fna.gz",71.91,0
"1428","GCA_002393975.1.fna.gz",71.19,1.9
"1429","GCA_018969805.1.fna.gz",71.9,0.53
"1430","GCA_002007375.1.fna.gz",71.6,1.4
"1431","GCA_017935095.1.fna.gz",71.61,2.01
"1432","GCA_900555075.1.fna.gz",71.77,1.68
"1433","GCA_017861415.1.fna.gz",71.06,0.56
"1434","GCA_900552945.1.fna.gz",71.81,0
"1435","GCA_017458335.1.fna.gz",71.25,0.17
"1436","GCA_004307985.1.fna.gz",71.99,1.24
"1437","GCA_017433575.1.fna.gz",71.88,3.47
"1438","GCA_000753775.1.fna.gz",71.96,0.91
"1439","GCA_003486505.1.fna.gz",71.97,0.66
"1440","GCA_003508215.1.fna.gz",71.46,0.67
"1441","GCA_017418235.1.fna.gz",71.76,3.04
"1442","GCA_003864555.1.fna.gz",71.83,0
"1443","GCA_018065365.1.fna.gz",71.98,0
"1444","GCA_004552685.1.fna.gz",71.1,3.91
"1445","GCA_003150355.1.fna.gz",71.81,1.34
"1446","GCA_900553985.1.fna.gz",71.52,0.67
"1447","GCF_001436175.1.fna.gz",71.25,0
"1448","GCA_900554165.1.fna.gz",71.05,0.73
"1449","GCA_017469325.1.fna.gz",71.31,2.13
"1450","GCA_017481395.1.fna.gz",71.27,2.95
"1451","GCA_017525015.1.fna.gz",72,4
"1452","GCA_017439865.1.fna.gz",71.46,1.68
"1453","GCA_002315945.1.fna.gz",71.84,0.48
"1454","GCA_009779335.1.fna.gz",71.23,1.52
"1455","GCA_017959465.1.fna.gz",71.25,2.85
"1456","GCA_017466825.1.fna.gz",71.64,1.61
"1457","GCA_900758955.1.fna.gz",71.46,0.34
"1458","GCA_900761655.1.fna.gz",71.76,2.73
"1459","GCA_002363705.1.fna.gz",72,0
"1460","GCA_017861475.1.fna.gz",71.2,2.81
"1461","GCA_017614275.1.fna.gz",71.96,2.15
"1462","GCA_017515965.1.fna.gz",71.62,3.16
"1463","GCA_008674255.1.fna.gz",71.43,0.67
"1464","GCA_002260585.1.fna.gz",71.51,0
"1465","GCA_905206115.1.fna.gz",71.9,0
"1466","GCA_017433605.1.fna.gz",71.39,3.61
"1467","GCA_905214495.1.fna.gz",71.55,1.72
"1468","GCA_003534045.1.fna.gz",71.22,1.34
"1469","GCA_004552505.1.fna.gz",71.14,0.67
"1470","GCA_017439715.1.fna.gz",71.77,0.81
"1471","GCA_003520865.1.fna.gz",71.04,0.88
"1472","GCA_012515255.1.fna.gz",71.18,1.98
"1473","GCA_017480265.1.fna.gz",71.49,0.67
"1474","GCA_002448495.1.fna.gz",71.33,1.64
"1475","GCA_002397355.1.fna.gz",71.21,0.67
"1476","GCA_003520605.1.fna.gz",71.53,2.68
"1477","GCA_017473225.1.fna.gz",71.02,3.59
"1478","GCA_902373455.1.fna.gz",71.66,0.86
"1479","GCA_003543635.1.fna.gz",71.35,1.09
"1480","GCA_007117695.1.fna.gz",71.91,2.25
"1481","GCA_003528045.1.fna.gz",71.28,2.83
"1482","GCA_017539635.1.fna.gz",71.16,0.67
"1483","GCA_002427305.1.fna.gz",71.82,0.78
"1484","GCA_002394565.1.fna.gz",71.73,2.01
"1485","GCA_008662005.1.fna.gz",71.5,1.68
"1486","GCA_002478485.1.fna.gz",71.1,0.7
"1487","GCA_015258305.1.fna.gz",71.91,3.37
"1488","GCA_900553975.1.fna.gz",71.22,0.63
"1489","GCA_017995395.1.fna.gz",71.06,2.82
"1490","GCA_905197535.1.fna.gz",71.25,0.81
"1491","GCA_002350785.1.fna.gz",71.01,2.18
"1492","GCA_003557445.1.fna.gz",71.82,1.32
"1493","GCA_003567935.1.fna.gz",71.12,2.61
"1494","GCA_017403885.1.fna.gz",71.4,1.05
"1495","GCA_003550525.1.fna.gz",71.34,2.68
"1496","GCA_009779835.1.fna.gz",71.21,0.22
"1497","GCA_018065475.1.fna.gz",71.33,1.34
"1498","GCA_008668985.1.fna.gz",71.51,1.69
"1499","GCA_002501285.1.fna.gz",71.5,0
"1500","GCA_900555525.1.fna.gz",71.75,2.15
"1501","GCF_000598245.1.fna.gz",99.26,0.74
"1502","GCA_903888055.1.fna.gz",100,0.55
"1503","GCF_002163675.1.fna.gz",99.66,1.73
"1504","GCF_000318275.2.fna.gz",99.52,0.71
"1505","GCF_016803515.1.fna.gz",99.29,0.44
"1506","GCF_009493745.1.fna.gz",99.32,2.36
"1507","GCA_910575495.1.fna.gz",99.52,0.48
"1508","GCF_015547555.1.fna.gz",99.26,1.8
"1509","GCF_014207145.1.fna.gz",100,2.87
"1510","GCF_014219895.1.fna.gz",100,0.49
"1511","GCF_004634245.1.fna.gz",99.65,0.4
"1512","GCF_900186755.1.fna.gz",99.29,0.35
"1513","GCA_003144015.1.fna.gz",99.67,0
"1514","GCF_016806965.1.fna.gz",100,0
"1515","GCF_001640115.1.fna.gz",99.66,0.73
"1516","GCA_018829205.1.fna.gz",100,1.12
"1517","GCF_900143665.1.fna.gz",100,0
"1518","GCF_003610675.1.fna.gz",100,0.25
"1519","GCF_004347595.1.fna.gz",99.25,0.09
"1520","GCF_001013295.1.fna.gz",100,0.49
"1521","GCF_000467795.1.fna.gz",99.92,0
"1522","GCF_007556395.1.fna.gz",99.25,0.39
"1523","GCF_002753955.1.fna.gz",99.92,0
"1524","GCF_009019725.1.fna.gz",99.26,0
"1525","GCF_000598865.1.fna.gz",99.26,1.3
"1526","GCF_007991435.1.fna.gz",100,0.25
"1527","GCF_002023705.1.fna.gz",100,1.08
"1528","GCA_002390745.1.fna.gz",99.05,2.65
"1529","GCF_015560925.1.fna.gz",99.16,1.21
"1530","GCF_900445545.1.fna.gz",99.25,0
"1531","GCF_000282115.1.fna.gz",100,0
"1532","GCF_001673755.1.fna.gz",99.67,0.66
"1533","GCF_016804145.1.fna.gz",99.29,0.44
"1534","GCF_012851305.1.fna.gz",99.42,0.77
"1535","GCF_016657085.1.fna.gz",100,0
"1536","GCF_003332885.2.fna.gz",100,0.49
"1537","GCF_014218785.1.fna.gz",100,0.74
"1538","GCF_003458265.1.fna.gz",99.25,0
"1539","GCA_002383485.1.fna.gz",99.05,2.62
"1540","GCF_002217435.1.fna.gz",99.65,0.9
"1541","GCF_013404025.1.fna.gz",99.67,0.61
"1542","GCA_002400415.1.fna.gz",99.5,0
"1543","GCF_004349145.1.fna.gz",99.65,0.35
"1544","GCF_002846575.1.fna.gz",99.65,0
"1545","GCF_003867075.1.fna.gz",100,4.39
"1546","GCF_900624885.1.fna.gz",99.62,0
"1547","GCF_006476045.1.fna.gz",99.52,0
"1548","GCA_902168175.1.fna.gz",99.51,0.25
"1549","GCF_006575665.1.fna.gz",100,0.3
"1550","GCF_000220155.1.fna.gz",99.46,0.54
"1551","GCF_900116415.1.fna.gz",100,0
"1552","GCF_002023135.1.fna.gz",100,1.08
"1553","GCF_008416185.1.fna.gz",99.24,0.86
"1554","GCF_003475045.1.fna.gz",99.25,0
"1555","GCF_900142975.1.fna.gz",99.43,1.84
"1556","GCF_000159875.2.fna.gz",99.41,0.4
"1557","GCA_905200575.1.fna.gz",100,0
"1558","GCF_015669735.1.fna.gz",99.28,1.34
"1559","GCA_900538555.1.fna.gz",99.62,0
"1560","GCA_017851715.1.fna.gz",100,0
"1561","GCF_003460025.1.fna.gz",99.06,0.08
"1562","GCF_014305175.1.fna.gz",99.29,0.42
"1563","GCF_900489485.1.fna.gz",99.62,0.27
"1564","GCF_009719865.1.fna.gz",99.62,0
"1565","GCA_903845645.1.fna.gz",99.46,0.81
"1566","GCF_001618385.1.fna.gz",100,0.54
"1567","GCF_015559845.1.fna.gz",99.26,0
"1568","GCA_018267625.1.fna.gz",99.51,0.99
"1569","GCF_004765605.1.fna.gz",100,0.74
"1570","GCA_903933595.1.fna.gz",99.45,0.27
"1571","GCF_008565475.1.fna.gz",99.26,0.33
"1572","GCF_008416155.1.fna.gz",99.24,0.86
"1573","GCF_000273155.1.fna.gz",99.26,0
"1574","GCF_008386635.1.fna.gz",99.67,0.54
"1575","GCF_018474135.1.fna.gz",100,0.52
"1576","GCF_009663475.1.fna.gz",100,0.49
"1577","GCF_019041515.1.fna.gz",99.25,0.57
"1578","GCF_005844935.1.fna.gz",99.46,0.11
"1579","GCF_015550345.1.fna.gz",99.26,0.5
"1580","GCF_900445585.1.fna.gz",99.3,1.81
"1581","GCF_015560255.1.fna.gz",99.26,0.37
"1582","GCA_009360455.1.fna.gz",99.51,0.98
"1583","GCF_014219825.1.fna.gz",100,1.08
"1584","GCF_900107705.1.fna.gz",99.14,1.91
"1585","GCA_016286055.1.fna.gz",99.05,2.14
"1586","GCF_006491645.1.fna.gz",99.29,0.35
"1587","GCF_018128145.1.fna.gz",99.32,0
"1588","GCF_001420285.1.fna.gz",100,0
"1589","GCF_900110995.1.fna.gz",100,1.07
"1590","GCF_000598385.1.fna.gz",99.26,0.04
"1591","GCF_008705155.1.fna.gz",100,0
"1592","GCF_019129005.1.fna.gz",99.25,0.56
"1593","GCF_002023195.1.fna.gz",100,0
"1594","GCA_910577595.1.fna.gz",99.04,0
"1595","GCF_001553795.1.fna.gz",99.92,0
"1596","GCF_002150145.1.fna.gz",99.29,0.44
"1597","GCF_015330135.1.fna.gz",99.67,0.99
"1598","GCF_019130575.1.fna.gz",99.26,0.56
"1599","GCF_002078605.1.fna.gz",99.22,0.38
"1600","GCF_900610215.1.fna.gz",99.29,0.44
"1601","GCA_017934545.1.fna.gz",97.85,7.53
"1602","GCA_014800865.1.fna.gz",97.36,5.66
"1603","GCF_000334405.1.fna.gz",97.62,0
"1604","GCF_002283365.1.fna.gz",97.27,2.46
"1605","GCA_012719055.1.fna.gz",97.31,1.08
"1606","GCA_900544175.1.fna.gz",97.86,1.19
"1607","GCA_902799765.1.fna.gz",97.42,2.35
"1608","GCA_016866385.1.fna.gz",97.43,4.19
"1609","GCA_902774675.1.fna.gz",97.37,0
"1610","GCA_002383545.1.fna.gz",97.08,0
"1611","GCA_017633985.1.fna.gz",97.85,0
"1612","GCA_001768485.1.fna.gz",97.38,3.25
"1613","GCF_003313335.1.fna.gz",97.61,0
"1614","GCA_902758155.1.fna.gz",97.94,2.96
"1615","GCF_002160055.1.fna.gz",97.68,0.31
"1616","GCA_900755675.1.fna.gz",97.04,0.54
"1617","GCA_016704595.1.fna.gz",97.77,2.48
"1618","GCA_903896855.1.fna.gz",97.85,3.36
"1619","GCA_003142475.1.fna.gz",97.8,4.83
"1620","GCA_018267775.1.fna.gz",97.54,0.62
"1621","GCA_902799095.1.fna.gz",97.58,0
"1622","GCF_001424305.1.fna.gz",97.13,0.6
"1623","GCA_900541835.1.fna.gz",97.04,0.38
"1624","GCF_000759305.1.fna.gz",97.89,0.47
"1625","GCF_003473415.1.fna.gz",97.9,0
"1626","GCA_000435635.1.fna.gz",97.45,1.01
"1627","GCF_016902245.1.fna.gz",97.01,0.25
"1628","GCA_905209705.1.fna.gz",97.36,1.09
"1629","GCA_903858065.1.fna.gz",97.3,1.62
"1630","GCA_903903615.1.fna.gz",97.29,0.53
"1631","GCF_900130135.1.fna.gz",97.68,0.19
"1632","GCA_903907075.1.fna.gz",97.44,2.96
"1633","GCA_016787085.1.fna.gz",97.02,0
"1634","GCA_016708125.1.fna.gz",97.77,2.79
"1635","GCA_910584905.1.fna.gz",97.55,0.94
"1636","GCF_000613965.1.fna.gz",97.33,0.51
"1637","GCA_003463775.1.fna.gz",97.55,0.89
"1638","GCA_016935355.1.fna.gz",97.22,1.83
"1639","GCA_014860115.1.fna.gz",97.49,6.75
"1640","GCA_903823565.1.fna.gz",97.84,0.54
"1641","GCA_017540145.1.fna.gz",97.31,1.61
"1642","GCA_903913285.1.fna.gz",97.85,1.61
"1643","GCA_002700285.1.fna.gz",97.85,4.84
"1644","GCA_900542355.1.fna.gz",97.04,0.54
"1645","GCA_014879465.1.fna.gz",97.27,1.96
"1646","GCF_014196695.1.fna.gz",97.62,0.98
"1647","GCF_009020365.1.fna.gz",97.4,0.95
"1648","GCA_007693915.1.fna.gz",97.15,0
"1649","GCF_011089895.1.fna.gz",97.46,1.93
"1650","GCF_014251595.1.fna.gz",97.65,0
"1651","GCA_019163155.1.fna.gz",97.25,0
"1652","GCA_016873805.1.fna.gz",97.8,1.09
"1653","GCF_001406095.1.fna.gz",97.77,0.09
"1654","GCA_016718065.1.fna.gz",97.26,3.47
"1655","GCA_019136995.1.fna.gz",97.54,0.82
"1656","GCF_007971525.1.fna.gz",97.14,0.87
"1657","GCA_005798905.1.fna.gz",97.29,0.99
"1658","GCF_002197755.1.fna.gz",97.61,1.12
"1659","GCA_018669875.1.fna.gz",97.85,0.54
"1660","GCA_900315175.1.fna.gz",97.58,0
"1661","GCA_004211595.1.fna.gz",97.13,1.46
"1662","GCA_013204595.1.fna.gz",97.11,0.87
"1663","GCA_013334485.1.fna.gz",97.04,1.1
"1664","GCA_902775775.1.fna.gz",97.78,0.37
"1665","GCA_002403305.1.fna.gz",97.14,2.38
"1666","GCA_002344235.1.fna.gz",97.47,2.14
"1667","GCA_016715745.1.fna.gz",97.86,2.48
"1668","GCA_903866715.1.fna.gz",97.14,2.03
"1669","GCA_902802865.1.fna.gz",97.41,1.51
"1670","GCA_902778535.1.fna.gz",97.73,0.82
"1671","GCF_003050755.1.fna.gz",97.62,1.9
"1672","GCF_003977605.1.fna.gz",97.78,0.37
"1673","GCA_903923925.1.fna.gz",97.85,1.08
"1674","GCA_910584455.1.fna.gz",97.91,0.38
"1675","GCA_902771145.1.fna.gz",97.47,0.54
"1676","GCA_001769075.1.fna.gz",97.12,1.08
"1677","GCA_007695365.1.fna.gz",97.4,0.54
"1678","GCF_004354365.1.fna.gz",97.61,0.03
"1679","GCA_903908835.1.fna.gz",97.81,1.09
"1680","GCA_017561825.1.fna.gz",97.39,1.54
"1681","GCA_903823355.1.fna.gz",97.39,1.37
"1682","GCA_902388705.1.fna.gz",97.84,0.48
"1683","GCA_015262365.1.fna.gz",97.18,0.79
"1684","GCA_000437795.1.fna.gz",97.34,0
"1685","GCA_016722195.1.fna.gz",97.62,0.89
"1686","GCA_902776335.1.fna.gz",97.29,2.41
"1687","GCF_001412215.1.fna.gz",97.61,0.97
"1688","GCF_001027745.1.fna.gz",97.61,0.16
"1689","GCF_014252095.1.fna.gz",97.62,0
"1690","GCF_003260195.1.fna.gz",97.65,2.62
"1691","GCA_002333175.1.fna.gz",97.45,3.01
"1692","GCF_001652725.1.fna.gz",97.61,0.16
"1693","GCA_905210435.1.fna.gz",97.3,0.94
"1694","GCA_902756335.1.fna.gz",97.69,5.03
"1695","GCA_905212065.1.fna.gz",97.47,0.96
"1696","GCA_017303715.1.fna.gz",97.54,3.28
"1697","GCA_910588835.1.fna.gz",97.92,0.38
"1698","GCA_016712145.1.fna.gz",97.77,0
"1699","GCA_016715565.1.fna.gz",97.98,4.55
"1700","GCA_003526535.1.fna.gz",97.38,0
"1701","GCA_013297995.1.fna.gz",95.65,1.72
"1702","GCA_013359345.1.fna.gz",95.44,1.12
"1703","GCA_002427615.1.fna.gz",95.7,0.81
"1704","GCA_900764335.1.fna.gz",95.31,0.24
"1705","GCA_017628555.1.fna.gz",95.45,1.55
"1706","GCA_002380375.1.fna.gz",95.63,0
"1707","GCA_004551685.1.fna.gz",95.46,1.35
"1708","GCA_905209185.1.fna.gz",95.43,0
"1709","GCF_000318215.2.fna.gz",95.05,0
"1710","GCA_902765455.1.fna.gz",95.93,0.74
"1711","GCA_016711005.1.fna.gz",95.4,4.94
"1712","GCA_013043865.1.fna.gz",95.77,3.37
"1713","GCA_016938685.1.fna.gz",95.16,7.1
"1714","GCA_017556705.1.fna.gz",95.97,0.54
"1715","GCA_017506705.1.fna.gz",95.22,6.03
"1716","GCA_900768325.1.fna.gz",95.16,0.54
"1717","GCF_900186645.1.fna.gz",95.7,1.62
"1718","GCA_017624155.1.fna.gz",95.12,0.75
"1719","GCA_002455375.1.fna.gz",95.79,1.79
"1720","GCA_900543895.1.fna.gz",95.45,0.63
"1721","GCA_902802615.1.fna.gz",95.56,0.95
"1722","GCA_017938385.1.fna.gz",95.4,5.71
"1723","GCA_018608985.1.fna.gz",95.52,1.34
"1724","GCA_003542575.1.fna.gz",95.48,1.43
"1725","GCA_003158475.1.fna.gz",95.2,4.1
"1726","GCA_017620775.1.fna.gz",95.61,0
"1727","GCA_016280915.1.fna.gz",95.97,1.45
"1728","GCA_903866585.1.fna.gz",95.54,2.67
"1729","GCA_900543725.1.fna.gz",95.41,0.57
"1730","GCA_910584495.1.fna.gz",95.23,0.5
"1731","GCA_903898125.1.fna.gz",95.6,0.66
"1732","GCA_017380095.1.fna.gz",95.21,3.21
"1733","GCA_903824755.1.fna.gz",95.77,2.8
"1734","GCA_900547205.1.fna.gz",95.05,1.6
"1735","GCF_900610135.1.fna.gz",95.76,0.09
